Customer_ID,Name,Gender,City,Credit_Score,Join_Date
CUST_1001,Customer_1001,Male,Hyderabad,,2021-03-27
CUST_1002,Customer_1002,Female,Pune,-1.0,2022-03-21
CUST_1003,Customer_1003,,Delhi,-1.0,2023-09-17
CUST_1004,Customer_1004,M,,,2021-06-01
CUST_1005,,Female,Delhi,-1.0,2021-03-31
CUST_1006,Customer_1006,M,Bangalore,696.0,2021-04-02
CUST_1007,Customer_1007,Female,Hyderabad,,2023-11-21
CUST_1008,Customer_1008,,Mumbai,-1.0,2024-01-25
CUST_1009,Customer_1009,M,,-1.0,2021-07-30
CUST_1010,Customer_1010,F,,,2020-07-12
CUST_1011,Customer_1011,,,752.0,2023-09-05
CUST_1012,Customer_1012,Male,Delhi,999.0,2021-10-10
CUST_1013,Customer_1013,F,Hyderabad,,2020-01-20
CUST_1014,Customer_1014,Male,Hyderabad,999.0,2023-01-12
CUST_1015,Customer_1015,Male,Pune,-1.0,2023-12-11
CUST_1016,Customer_1016,M,Pune,-1.0,2023-07-31
CUST_1017,Customer_1017,Male,,-1.0,2023-10-28
CUST_1018,Customer_1018,Male,,-1.0,2023-08-05
CUST_1019,Customer_1019,,Bangalore,-1.0,2021-09-10
CUST_1020,,Male,,999.0,2024/13/45
CUST_1021,Customer_1021,,Delhi,-1.0,2022-01-17
CUST_1022,Customer_1022,M,,-1.0,2021-10-08
CUST_1023,Customer_1023,,Delhi,408.0,2020-07-13
CUST_1024,Customer_1024,F,Hyderabad,431.0,2020-08-22
CUST_1025,Customer_1025,,Pune,-1.0,2020-02-18
CUST_1026,Customer_1026,,Hyderabad,445.0,2020-07-05
CUST_1027,Customer_1027,,Delhi,999.0,2021-09-13
CUST_1028,Customer_1028,Male,Mumbai,-1.0,2024-01-26
CUST_1029,Customer_1029,Male,,-1.0,2020-07-17
CUST_1030,Customer_1030,Female,,-1.0,2023-08-23
CUST_1031,Customer_1031,Female,Pune,-1.0,2021-12-15
CUST_1032,Customer_1032,F,Pune,999.0,2022-12-21
CUST_1033,Customer_1033,F,Pune,999.0,2021-01-24
CUST_1034,Customer_1034,Female,Bangalore,999.0,2022-10-02
CUST_1035,,Female,Pune,,2022-01-23
CUST_1036,Customer_1036,Female,Delhi,-1.0,2022-05-10
CUST_1037,Customer_1037,Female,,,2020-01-24
CUST_1038,Customer_1038,F,Pune,-1.0,2021-08-15
CUST_1039,Customer_1039,M,Bangalore,,2022-03-29
CUST_1040,Customer_1040,,,634.0,2024/13/45
CUST_1041,Customer_1041,Male,Delhi,999.0,2023-02-07
CUST_1042,Customer_1042,Male,,999.0,2020-11-28
CUST_1043,Customer_1043,Male,Hyderabad,999.0,2020-11-09
CUST_1044,Customer_1044,F,Bangalore,999.0,2023-05-13
CUST_1045,Customer_1045,Female,,318.0,2023-01-19
CUST_1046,Customer_1046,F,Mumbai,,2023-02-20
CUST_1047,Customer_1047,,Mumbai,540.0,2020-08-13
CUST_1048,Customer_1048,Female,Bangalore,999.0,2022-12-13
CUST_1049,Customer_1049,Female,,999.0,2023-03-25
CUST_1050,,,Delhi,392.0,2020-10-03
CUST_1051,Customer_1051,Female,Bangalore,999.0,2023-09-27
CUST_1052,Customer_1052,M,Bangalore,729.0,2020-10-19
CUST_1053,Customer_1053,,Pune,361.0,2021-12-26
CUST_1054,Customer_1054,Female,Mumbai,-1.0,2022-11-22
CUST_1055,Customer_1055,Male,Hyderabad,802.0,2020-07-13
CUST_1056,Customer_1056,F,Bangalore,344.0,2023-11-04
CUST_1057,Customer_1057,,Hyderabad,999.0,2023-10-24
CUST_1058,Customer_1058,M,,,2021-03-23
CUST_1059,Customer_1059,M,Hyderabad,-1.0,2021-09-03
CUST_1060,Customer_1060,F,Hyderabad,999.0,2024/13/45
CUST_1061,Customer_1061,F,Bangalore,-1.0,2021-10-14
CUST_1062,Customer_1062,,Bangalore,999.0,2024-01-10
CUST_1063,Customer_1063,Female,Hyderabad,640.0,2020-09-30
CUST_1064,Customer_1064,,Mumbai,-1.0,2020-03-31
CUST_1065,,M,,705.0,2022-03-01
CUST_1066,Customer_1066,Male,Pune,343.0,2021-04-06
CUST_1067,Customer_1067,M,,-1.0,2021-11-23
CUST_1068,Customer_1068,Male,Pune,,2022-05-31
CUST_1069,Customer_1069,,,569.0,2023-08-29
CUST_1070,Customer_1070,Female,,999.0,2021-07-13
CUST_1071,Customer_1071,M,Hyderabad,999.0,2022-06-06
CUST_1072,Customer_1072,Female,Delhi,,2023-06-19
CUST_1073,Customer_1073,F,Delhi,757.0,2020-07-03
CUST_1074,Customer_1074,Female,,-1.0,2020-05-30
CUST_1075,Customer_1075,M,,618.0,2023-03-27
CUST_1076,Customer_1076,Female,Delhi,-1.0,2022-02-07
CUST_1077,Customer_1077,,,999.0,2020-09-03
CUST_1078,Customer_1078,M,Delhi,,2020-03-31
CUST_1079,Customer_1079,,Delhi,,2020-07-29
CUST_1080,,Male,,-1.0,2024/13/45
CUST_1081,Customer_1081,M,,999.0,2022-10-02
